state_code,district_code,district_sort,district_label,candidate_count,major_party_candidate_count,total_itemized_receipts,tech_itemized_receipts,tech_itemized_donors,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,dem_candidate_name,rep_candidate_name,other_candidate_names,pct_dem,pct_rep,party_label
AK,AL,0,AK-AL,13,6,8048798,67951,56.0,7644765,19963029,5474667,10953147,67751,200,-12318264,-5478480,"PELTOLA, MARY",D,67751,"PELTOLA, MARY","BEGICH, NICHOLAS III","AMBROSE, DAVID; DUTCHESS, LADY DONNA; HOWE, JOHN WAYNE",99.70567026239496,0.29432973760503894,D
AL,01,1,AL-01,6,6,1327647,3300,1.0,284303,2430394,15638,0,0,3300,-2146091,15638,"CARL, JERRY LEE, JR",R,3300,"HOLMES, THOMAS BETHUNE MR.","CARL, JERRY LEE, JR",,0.0,100.0,R
AL,02,2,AL-02,22,22,3810376,18202,20.0,2815610,349032,28611,0,13882,4320,2466578,28611,"FIGURES, SHOMARI C.",D,13632,"FIGURES, SHOMARI C.","DOBSON, CAROLEENE",,76.26634435776289,23.733655642237117,D
AL,03,3,AL-03,5,5,2304928,27950,9.0,0,0,0,0,0,27950,0,0,"ROGERS, MICHAEL",R,27950,,"ROGERS, MICHAEL",,0.0,100.0,R
AL,04,4,AL-04,2,2,597877,0,0.0,0,0,0,0,0,0,0,0,"ADERHOLT, ROBERT B. REP.",R,0,,"ADERHOLT, ROBERT B. REP.",,,,Unknown
AL,05,5,AL-05,1,1,627949,6950,2.0,0,0,0,0,0,6950,0,0,"STRONG, DALE WHITNEY",R,6950,,"STRONG, DALE WHITNEY",,0.0,100.0,R
AL,06,6,AL-06,5,4,1324832,145,1.0,0,0,0,0,145,0,0,0,"ANDERSON, ELIZABETH",D,145,"ANDERSON, ELIZABETH","MCFEETERS, KENNETH R","STEWART, KEVIN G MR",100.0,0.0,D
AL,07,7,AL-07,4,4,885693,3800,2.0,68609,0,0,0,3800,0,68609,0,"SEWELL, TERRI A.",D,3800,"SEWELL, TERRI A.","LITAKER, ROBIN DR.",,100.0,0.0,D
AR,01,1,AR-01,3,2,353940,500,1.0,0,0,0,0,0,500,0,0,"CRAWFORD, ERIC ALAN RICK",R,500,"GOVENS, RODNEY","CRAWFORD, ERIC ALAN RICK",,0.0,100.0,R
AR,02,2,AR-02,6,6,2031286,30950,10.0,156346,0,0,0,250,30700,156346,0,"HILL, JAMES FRENCH",R,30700,"JONES, MARCUS","HILL, JAMES FRENCH",,0.8077544426494345,99.19224555735056,R
AR,03,3,AR-03,4,3,1324535,7600,2.0,171564,15087,0,0,1000,6600,156477,0,"WOMACK, STEPHEN A THE HON",R,6600,"MATTELIN, CAITLIN RAE DRAPER","WOMACK, STEPHEN A THE HON",,13.157894736842104,86.8421052631579,R
AR,04,4,AR-04,2,2,1028440,0,0.0,602,0,0,0,0,0,602,0,"WESTERMAN, BRUCE",R,0,"HOWARD, RISI","WESTERMAN, BRUCE",,,,Unknown
AS,AL,0,AS-AL,4,2,61440,0,0.0,0,0,0,0,0,0,0,0,"AMATA, AUMUA",R,0,"KUAEA, LOUISE LEALAI MRS.","AMATA, AUMUA",,,,Unknown
AZ,01,1,AZ-01,18,15,12685835,82765,88.0,5466485,20213110,4361581,18579491,82665,100,-14746625,-14217910,"SHAH, AMISH DR.",D,61883,"SHAH, AMISH DR.","GEORGE, KIMBERLY","GAYLES, KIESHA; MARTIN, MICHELLE",99.87917598018487,0.12082401981513924,D
AZ,02,2,AZ-02,4,4,6042571,7392,17.0,555898,55260,464714,0,6133,1259,500638,464714,"NEZ, JONATHAN MICHAEL",D,6133,"NEZ, JONATHAN MICHAEL","CRANE, ELI",,82.96807359307358,17.031926406926406,D
AZ,03,3,AZ-03,11,9,2965975,10150,16.0,5227349,557148,2466747,513898,10150,0,4670201,1952849,"ANSARI, YASSAMIN",D,8800,"ANSARI, YASSAMIN","MENDOZA, JESUS DAVID",,100.0,0.0,D
AZ,04,4,AZ-04,6,5,2879309,7850,5.0,43242,0,1608,0,7850,0,43242,1608,"STANTON, GREG",D,7850,"STANTON, GREG","COOPER, KELLY","BECK-JONES, VINCENT",100.0,0.0,D
AZ,05,5,AZ-05,6,4,754702,800,2.0,3396,0,3396,0,300,500,3396,3396,"BIGGS, ANDY",R,500,"SCHAFFNER, KATRINA","BIGGS, ANDY","OLSON, EVAN ANDREW; SMITH, CLINT WILLIAM",37.5,62.5,Mixed
AZ,06,6,AZ-06,9,5,8714492,52501,49.0,6108393,16027709,5520995,14815744,44683,7818,-9919316,-9294749,"ENGEL, KIRSTEN",D,44683,"ENGEL, KIRSTEN","CISCOMANI, JUAN","CAST, CLIFFORD VANCE DR; POZZOLO, LUIS; SIARTO, MARK ROBERT",85.10885506942725,14.89114493057275,D
AZ,07,7,AZ-07,3,3,348985,500,1.0,682,0,0,0,500,0,682,0,"GRIJALVA, RAUL M",D,500,"GRIJALVA, RAUL M","BUTIEREZ, DANIEL",,100.0,0.0,D
AZ,08,8,AZ-08,13,12,2397927,12701,11.0,3172005,767892,436043,0,4550,8151,2404113,436043,"WHITTEN, GREGORY",D,4550,"WHITTEN, GREGORY","TOMA, BEN","SPREITZER, JEREMY",35.823950870010236,64.17604912998976,Mixed
AZ,09,9,AZ-09,4,3,432477,1500,2.0,2640,9166,2640,0,1000,500,-6526,2640,"SMITH, QUACY L",D,1000,"SMITH, QUACY L","GOSAR, PAUL DR.","LUCIER, DAVID",66.66666666666666,33.33333333333333,Mixed
CA,01,1,CA-01,12,9,628700,0,0.0,273,0,116,0,0,0,273,116,"LAMALFA, DOUG",R,0,"YEE, ROSE PENELOPE","LAMALFA, DOUG","LAVIN, JEFFREY R MR.",,,Unknown
CA,02,2,CA-02,5,3,547148,0,0.0,502,0,167,0,0,0,502,167,"HUFFMAN, JARED",D,0,"HUFFMAN, JARED","COULOMBE, CHRIS MR","KANGAS, JOLIAN",,,Unknown
CA,03,3,CA-03,4,3,4570110,73200,38.0,365473,25022,187507,0,48675,24525,340451,187507,"MORSE, JESSICA",D,48675,"MORSE, JESSICA","KILEY, KEVIN",,66.49590163934425,33.50409836065574,Mixed
CA,04,4,CA-04,5,4,808299,0,0.0,25263,0,161,0,0,0,25263,161,"THOMPSON, MIKE MR.",D,0,"THOMPSON, MIKE MR.","MUNN, JOHN","PATWARDHAN, NIKET",,,Unknown
CA,05,5,CA-05,4,3,732114,500,1.0,157,0,0,0,0,500,157,0,"MCCLINTOCK, THOMAS",R,500,"BARKLEY, MICHAEL JAMES MR.","MCCLINTOCK, THOMAS","WOZNIAK, STEVE",0.0,100.0,R
CA,06,6,CA-06,12,11,544207,7719,6.0,391,0,180,0,7719,0,391,180,"BERA, AMERISH",D,7719,"BERA, AMERISH","DELUZ, CRAIG","RICHARDSON, CHRIS",100.0,0.0,D
CA,07,7,CA-07,4,4,449134,3300,1.0,347,0,180,0,3300,0,347,180,"MATSUI, DORIS",D,3300,"MATSUI, DORIS","SILVA, THOMAS",,100.0,0.0,D
CA,08,8,CA-08,2,2,524030,6600,1.0,346,0,179,0,6600,0,346,179,"GARAMENDI, JOHN",D,6600,"GARAMENDI, JOHN","RECILE, RUDY",,100.0,0.0,D
CA,09,9,CA-09,6,5,4800475,120507,62.0,125131,959332,2700,928232,120507,0,-834201,-925532,"HARDER, JOSH",D,120507,"HARDER, JOSH","LINCOLN, KEVIN J II","FENG, KARENA APPLE MS.",100.0,0.0,D
CA,10,10,CA-10,7,4,282513,500,1.0,1346,0,179,0,500,0,1346,179,"DESAULNIER, MARK",D,500,"DESAULNIER, MARK","CHEN, NOLAN","ELSHERBINI, MOHAMED S MR; KERR, MICHAEL; SWEENEY, JOSEPH J",100.0,0.0,D
CA,11,11,CA-11,10,9,5420678,59704,41.0,17419,0,7252,0,55354,4350,17419,7252,"PELOSI, NANCY",D,55354,"PELOSI, NANCY","LOU, BRUCE C","BLUE, ELIJAH LEWIS",92.71405600964759,7.285943990352404,D
CA,12,12,CA-12,14,14,2326718,30825,34.0,7864,0,2180,0,30825,0,7864,2180,"SIMON, LATEEFAH",D,19580,"SIMON, LATEEFAH","SLAUSON, STEPHEN",,100.0,0.0,D
CA,13,13,CA-13,7,7,5796896,70538,67.0,3310157,20801887,2602946,20406164,70538,0,-17491730,-17803218,"GRAY, ADAM C.",D,69038,"GRAY, ADAM C.","DUARTE, JOHN",,100.0,0.0,D
CA,14,14,CA-14,6,6,2822291,66203,20.0,337,0,180,0,59050,7153,337,180,"SWALWELL, ERIC MICHAEL",D,59050,"SWALWELL, ERIC MICHAEL","KRUTTIVENTI, VIN",,89.19535368487833,10.804646315121671,D
CA,15,15,CA-15,2,2,389691,6741,9.0,3909,0,3742,0,5600,1141,3909,3742,"MULLIN, KEVIN",D,5600,"MULLIN, KEVIN","KRAMER, ANNA CHENG",,83.07372793354102,16.926272066458985,D
CA,16,16,CA-16,16,15,12445354,609264,290.0,6471164,596258,1152736,0,609264,0,5874906,1152736,"LICCARDO, SAM T.",D,279825,"LICCARDO, SAM T.","OHTAKI, PETER I","VISWANATHAN, NICKESH",100.0,0.0,D
CA,17,17,CA-17,5,4,9434918,508185,162.0,109978,0,180,0,507335,850,109978,180,"KHANNA, ROHIT",D,506085,"KHANNA, ROHIT","CHEN, ANITA S",,99.83273807766857,0.16726192233143442,D
CA,18,18,CA-18,6,4,1540459,141750,44.0,199343,0,23256,0,140950,800,199343,23256,"LOFGREN, ZOE",D,140950,"LOFGREN, ZOE","HERNANDEZ, PETER","KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTRELVIA; KIFLE, LUELE",99.43562610229277,0.5643738977072311,D
CA,19,19,CA-19,5,4,1453282,13550,8.0,16264,0,180,0,13050,0,16264,180,"PANETTA, JIMMY",D,13050,"PANETTA, JIMMY","ANDERSON, JASON","DOUGHERTY, SEAN JACOB",100.0,0.0,D
CA,20,20,CA-20,20,16,11021409,165203,17.0,684048,270552,27818,50,3525,161678,413496,27768,"MCCARTHY, KEVIN",R,154878,"BURROWS, JOHNATHON","MCCARTHY, KEVIN","DEWELL, BEN",2.1337384914317536,97.86626150856824,R
CA,21,21,CA-21,2,2,1287683,2500,1.0,60337,0,180,0,2500,0,60337,180,"COSTA, JIM",D,2500,"COSTA, JIM","MAHER, MICHAEL A",,100.0,0.0,D
CA,22,22,CA-22,4,4,4935113,57661,63.0,7646598,16915962,5399416,16216584,56536,1125,-9269364,-10817168,"SALAS, RUDY",D,56536,"SALAS, RUDY","VALADAO, DAVID",,98.04894122543834,1.951058774561662,D
CA,23,23,CA-23,4,4,1075442,31777,17.0,2671,22000,14,0,5677,26100,-19329,14,"OBERNOLTE, JAY",R,26100,"MARSHALL, DEREK","OBERNOLTE, JAY",,17.865122572930105,82.1348774270699,R
CA,24,24,CA-24,3,3,1194468,800,1.0,38090,157,179,0,800,0,37933,179,"CARBAJAL, SALUD O.",D,800,"CARBAJAL, SALUD O.","COLE, THOMAS DR",,100.0,0.0,D
CA,25,25,CA-25,6,5,1506651,6160,7.0,376,0,209,0,6160,0,376,209,"RUIZ, RAUL DR.",D,4050,"RUIZ, RAUL DR.","CHAPA, MIGUEL",,100.0,0.0,D
CA,26,26,CA-26,5,5,777917,0,0.0,229774,0,177201,0,0,0,229774,177201,"BROWNLEY, JULIA",D,0,"BROWNLEY, JULIA","KOSLOW, MICHAEL",,,,Unknown
CA,27,27,CA-27,4,4,9543177,106173,80.0,6689295,20672070,5119353,20505138,95483,10690,-13982775,-15385785,"WHITESIDES, GEORGE",D,95483,"WHITESIDES, GEORGE","GARCIA, MICHAEL",,89.93152684769198,10.068473152308027,D
CA,28,28,CA-28,7,5,1366392,1650,1.0,382,0,161,0,1650,0,382,161,"CHU, JUDY",D,1650,"CHU, JUDY","VERLATO, APRIL",,100.0,0.0,D
CA,29,29,CA-29,5,5,750804,8600,5.0,70825,0,20247,0,8600,0,70825,20247,"RIVAS, LUZ",D,4800,"RIVAS, LUZ","BERNAL, BENITO",,100.0,0.0,D
CA,30,30,CA-30,22,21,6434605,51077,46.0,470247,63043,2182,0,51077,0,407204,2182,"PORTANTINO, ANTHONY",D,20800,"PORTANTINO, ANTHONY","BALEKIAN, ALEX ARTO","BOCANEGRA, JOSH",100.0,0.0,D
CA,31,31,CA-31,12,10,1476710,3300,1.0,2738,2738,0,0,3300,0,0,0,"RUBIO, SUSAN",D,3300,"RUBIO, SUSAN","MARTINEZ, DANIEL JOSE BOCIC MR. ESQ.","LEVI, ERSKINE LINCOLN JR",100.0,0.0,D
CA,32,32,CA-32,11,11,1229292,1000,1.0,502,0,335,0,1000,0,502,335,"SHERMAN, BRAD",D,1000,"SHERMAN, BRAD","THOMPSON, LARRY",,100.0,0.0,D
CA,33,33,CA-33,5,3,2192724,38450,15.0,10189,157,179,0,38450,0,10032,179,"AGUILAR, PETE",D,38450,"AGUILAR, PETE","HERMAN, THOMAS","PORTER, JOHN MARK",100.0,0.0,D
CA,34,34,CA-34,6,5,1565717,14274,12.0,2368478,592409,1856982,592409,14274,0,1776069,1264573,"KIM, DAVID",D,8774,"KIM, DAVID","LEE, CALVIN","REVELES, AARON",100.0,0.0,D
CA,35,35,CA-35,4,4,269271,3800,2.0,336,0,179,0,3300,500,336,179,"TORRES, NORMA",D,3300,"TORRES, NORMA","CARGILE, MIKE",,86.8421052631579,13.157894736842104,D
CA,36,36,CA-36,5,4,1552941,37015,14.0,522,0,355,0,37015,0,522,355,"LIEU, TED",D,37015,"LIEU, TED","TOOMIM, LEAH MELISSA","RAGGE ANDERSON, CLAIRE",100.0,0.0,D
CA,37,37,CA-37,5,3,530492,9100,5.0,2025,0,355,0,9100,0,2025,355,"KAMLAGER-DOVE, SYDNEY",D,9100,"KAMLAGER-DOVE, SYDNEY","FEDALIZO, BALTAZAR MR.","REY, JUAN",100.0,0.0,D
CA,38,38,CA-38,5,5,547144,6600,2.0,10484,0,317,0,6600,0,10484,317,"SANCHEZ, LINDA",D,6600,"SANCHEZ, LINDA","CHING, ERIC J",,100.0,0.0,D
CA,39,39,CA-39,3,3,605999,1250,1.0,141553,0,209,0,1250,0,141553,209,"TAKANO, MARK",D,1250,"TAKANO, MARK","SERPA, DAVID",,100.0,0.0,D
CA,40,40,CA-40,3,3,4463602,20509,23.0,2421812,20713,2234459,17272,4650,15859,2401099,2217187,"KIM, YOUNG",R,15859,"KERR, JOSEPH","KIM, YOUNG",,22.672972841191672,77.32702715880832,R
CA,41,41,CA-41,6,5,11106787,120819,93.0,2892788,18014250,2067896,16008693,79819,41000,-15121462,-13940797,"ROLLINS, WILL",D,79819,"ROLLINS, WILL","CALVERT, KEN",,66.06494011703458,33.935059882965426,Mixed
CA,42,42,CA-42,4,4,820652,7200,2.0,251,0,84,0,7200,0,251,84,"GARCIA, ROBERT",D,7200,"GARCIA, ROBERT","BRISCOE, JOHN",,100.0,0.0,D
CA,43,43,CA-43,6,6,433950,250,1.0,522,0,355,0,250,0,522,355,"WATERS, MAXINE MS",D,250,"WATERS, MAXINE MS","WILLIAMS, STEVE MR.",,100.0,0.0,D
CA,44,44,CA-44,2,2,286547,3300,1.0,484,0,317,0,3300,0,484,317,"BARRAGAN, NANETTE",D,3300,"BARRAGAN, NANETTE","GROH, ROGER",,100.0,0.0,D
CA,45,45,CA-45,8,8,7318897,69223,65.0,9723605,24713164,7867368,23708900,52012,17211,-14989559,-15841532,"TRAN, DEREK",D,50762,"TRAN, DEREK","STEEL, MICHELLE",,75.13687647169294,24.863123528307067,D
CA,46,46,CA-46,2,2,395731,300,1.0,346,0,179,0,0,300,346,179,"PAN, DAVID",R,300,"CORREA, LOU","PAN, DAVID",,0.0,100.0,R
CA,47,47,CA-47,20,17,10445939,89668,67.0,7114928,17600243,4614258,14613173,81568,8100,-10485315,-9998915,"MIN, DAVE",D,66668,"MIN, DAVE","BAUGH, SCOTT","CRANDALL, TERRY LAWRENCE; MCGRATH, THOMAS PIERCE; SMITH, WILLIAM",90.96667707543382,9.033322924566177,D
CA,48,48,CA-48,6,5,571987,13400,7.0,3646,0,77,0,0,13400,3646,77,"ISSA, DARRELL",R,13400,"HOULAHAN, STEPHEN WILLIAM","ISSA, DARRELL","JAHN, LUCINDA KWH MS",0.0,100.0,R
CA,49,49,CA-49,5,5,5637625,61215,28.0,265935,2013453,104804,1831276,56915,4300,-1747518,-1726472,"LEVIN, MIKE",D,56915,"LEVIN, MIKE","GUNDERSON, MATT",,92.97557788123825,7.024422118761741,D
CA,50,50,CA-50,5,5,414471,24800,6.0,92187,0,92187,0,24800,0,92187,92187,"PETERS, SCOTT",D,24800,"PETERS, SCOTT","MOSS, SOLOMON",,100.0,0.0,D
CA,51,51,CA-51,5,3,1519336,7525,4.0,969,0,209,0,7525,0,969,209,"JACOBS, SARA",D,7525,"JACOBS, SARA","WELLS, BILL D.","CAPLAN, STAN; SHIOURA, HILAIRE FUJI",100.0,0.0,D
CA,52,52,CA-52,3,2,211028,0,0.0,1499,750,1499,0,0,0,749,1499,"VARGAS, JUAN C.",D,0,"VARGAS, JUAN C.","LEE, JUSTIN",,,,Unknown
CO,01,1,CO-01,7,3,353390,1083,2.0,31,0,0,0,1083,0,31,0,"DEGETTE, DIANA L",D,1083,"DEGETTE, DIANA L","ARCHULETA, VALDAMAR",,100.0,0.0,D
CO,02,2,CO-02,6,3,1173416,8972,6.0,703,0,0,0,5267,3705,703,0,"NEGUSE, JOSEPH",D,5267,"NEGUSE, JOSEPH","DAWSON, MARSHALL",,58.70485956308515,41.29514043691485,Mixed
CO,03,3,CO-03,22,15,9633336,36627,57.0,2306979,1118566,1950532,544000,34627,2000,1188413,1406532,"FRISCH, ADAM",D,34377,"FRISCH, ADAM","HURD, JEFFREY","ELWORTH, MARK JR; HERNANDEZ, FRANK; WHITLEY, DAVID VANN MR; WILEY, JAMES BROOKS; WITHROW, ADAM JOSEPH",94.53954732847353,5.460452671526469,D
CO,04,4,CO-04,25,19,4604954,10739,30.0,236887,328844,212418,228574,10122,617,-91957,-16156,"CALVARESE, TRISHA",D,6372,"CALVARESE, TRISHA","BOEBERT, LAUREN","ELWORTH, MARK JR; GOODMAN, HANNAH; MANGERIS, DOUGLAS",94.25458608809014,5.7454139119098615,D
CO,05,5,CO-05,21,14,1010005,1100,2.0,590810,2114853,453205,0,1100,0,-1524043,453205,"REAGAN, JOSEPH F",D,1100,"REAGAN, JOSEPH F","CRANK, JEFF","GAYE, JOSEPH OLIVER MR; MITCHELL, CHRISTOPHER DOUGLAS; MURPHY, MARCUS; NGUYEN, KATRINA; SWEAT, CHRISTOPHER; VANCE, MICHAEL",100.0,0.0,D
CO,06,6,CO-06,6,4,1338070,33330,13.0,26300,0,0,0,33330,0,26300,0,"CROW, JASON",D,33330,"CROW, JASON","FABBRICATORE, JOHN",,100.0,0.0,D
CO,07,7,CO-07,6,3,1065082,45140,16.0,100587,0,88256,0,45140,0,100587,88256,"PETTERSEN, BRITTANY LOUISE",D,45140,"PETTERSEN, BRITTANY LOUISE","HEMENWAY, JAMES VINCENT","BOHAN, PATRICK; LAW, MORGAN; TUPA, RONALD",100.0,0.0,D
CO,08,8,CO-08,10,5,5867158,74527,53.0,7790767,21355257,5549443,19459045,71227,3300,-13564490,-13909602,"CARAVEO, YADIRA",D,71227,"CARAVEO, YADIRA","EVANS, TIMOTHY GABRIEL JOSEPH","JOHNSON, LARRY; PAYETTE, MATTHEW WILLIAM",95.57207455016304,4.427925449836971,D
CT,01,1,CT-01,5,3,416655,0,0.0,10,0,0,0,0,0,10,0,"LARSON, JOHN B",D,0,"LARSON, JOHN B","GRIFFIN, JAMES LEONARD","SYMOCHKO, NICHOLAS M MR SR",,,Unknown
CT,02,2,CT-02,2,2,658336,3300,1.0,52860,0,0,0,3300,0,52860,0,"COURTNEY, JOSEPH",D,3300,"COURTNEY, JOSEPH","FRANCE, MIKE",,100.0,0.0,D
CT,03,3,CT-03,4,4,698377,1600,3.0,10,0,0,0,1600,0,10,0,"DELAURO, ROSA L",D,1600,"DELAURO, ROSA L","IRIZARRY, RAFAEL",,100.0,0.0,D
CT,04,4,CT-04,7,5,992956,43350,12.0,10,0,0,0,42850,500,10,0,"HIMES, JIM",D,42850,"HIMES, JIM","MACGUFFIE, ROBERT W","SKUDLAREK, JADEN JOSEPH MR",98.84659746251442,1.1534025374855825,D
CT,05,5,CT-05,5,4,3535635,10124,12.0,768983,2075231,595047,2070231,9824,300,-1306248,-1475184,"HAYES, JAHANA",D,9824,"HAYES, JAHANA","LOGAN, GEORGE S","DARWISH, AHMAD AJ",97.0367443698143,2.9632556301856976,D
DC,AL,0,DC-AL,8,5,126450,0,0.0,0,0,0,0,0,0,0,0,"WILLIAMS, KELLY",D,0,"WILLIAMS, KELLY","ALEXANDER, MYRTLE PATRICIA DR.","A BROWN, MICHAEL; FREEMAN, KYMONE; WATTS, HELCHIC KOTON",,,Unknown
DE,AL,0,DE-AL,10,10,3963863,93787,60.0,400646,0,285223,0,93787,0,400646,285223,"MCBRIDE, SARAH ELIZABETH",D,86187,"MCBRIDE, SARAH ELIZABETH","HALL, DONYALE LONDON",,100.0,0.0,D
FL,01,1,FL-01,14,13,3857393,15491,18.0,1137246,2161576,333,0,1000,14491,-1024330,333,"GAETZ, MATT",R,7891,"VALIMONT, JENNIFER GAY","GAETZ, MATT",,6.4553611774578785,93.54463882254213,R
FL,02,2,FL-02,6,6,500527,3000,2.0,0,0,0,0,0,3000,0,0,"DUNN, NEAL PATRICK MD, FACS",R,3000,"BAILEY, HUY-YEN CAM MS.","DUNN, NEAL PATRICK MD, FACS",,0.0,100.0,R
FL,03,3,FL-03,5,4,924428,19800,3.0,0,0,0,0,0,19800,0,0,"CAMMACK, KAT",R,19800,"WELLS, TOM","CAMMACK, KAT","STEBBINS, ANTHONY JAMES",0.0,100.0,R
FL,04,4,FL-04,5,4,630372,0,0.0,0,0,0,0,0,0,0,0,"BEAN, AARON P.",R,0,"HOLLOWAY, LASHONDA","BEAN, AARON P.","SCHAEFER, TODD",,,Unknown
FL,05,5,FL-05,6,5,275828,6600,1.0,86523,0,19378,0,0,6600,86523,19378,"RUTHERFORD, JOHN",R,6600,"BOULIN ROMAIN, JACQUELINE","RUTHERFORD, JOHN",,0.0,100.0,R
FL,06,6,FL-06,9,8,1163979,12850,6.0,0,0,0,0,1000,11850,0,0,"WALTZ, MICHAEL",R,11850,"STOCKTON, JAMES D","WALTZ, MICHAEL",,7.782101167315175,92.21789883268482,R
FL,07,7,FL-07,9,9,737775,1500,1.0,0,0,0,0,0,1500,0,0,"MILLS, CORY",R,1500,"ADAMS, JENNIFER","MILLS, CORY",,0.0,100.0,R
FL,08,8,FL-08,8,6,1563889,1000,1.0,397359,0,935,0,0,0,397359,935,"HARIDOPOLOS, MIKE",,1000,"KENNEDY, SANDRA (SANDY) DENISE MS. ESQ","POSEY, BILL","DIEPPA, JOSE ARNALDO MR; HARIDOPOLOS, MIKE",,,Unknown
FL,09,9,FL-09,12,10,981968,22400,7.0,16454,0,15625,0,22400,0,16454,15625,"SOTO, DARREN",D,22400,"SOTO, DARREN","JONES, LATERESA ANN","CARTER, GREGORY MARCUS MR; FARBER, STUART DR",100.0,0.0,D
FL,10,10,FL-10,8,7,1690578,9244,14.0,15387,0,15377,0,9244,0,15387,15377,"FROST, MAXWELL ALEJANDRO",D,9244,"FROST, MAXWELL ALEJANDRO","LE, TUAN A","WHITE, VIBERT DR",100.0,0.0,D
FL,11,11,FL-11,9,6,808426,250,1.0,13007,0,0,0,0,250,13007,0,"MCCLOY, JOHN",R,250,"HALL, BARBARA HARDEN","MCCLOY, JOHN","ALCANTARA, CHRISTOPHER MANUEL; GROVES, RALPH; OSTA, SAMI MICHEL N/A",0.0,100.0,R
FL,12,12,FL-12,4,4,585962,1875,3.0,285800,0,285800,0,375,1500,285800,285800,"BILIRAKIS, GUS M",R,1500,"ABOUJAOUDE, ROCK ADEL MR. JR","BILIRAKIS, GUS M",,20.0,80.0,R
FL,13,13,FL-13,8,7,3454748,38039,25.0,1288591,373536,1236934,0,37039,1000,915055,1236934,"FOX, WHITNEY",D,17378,"FOX, WHITNEY","PAULINA LUNA, ANNA","D'ARRIGO, TONY C",97.37111911459291,2.628880885407082,D
FL,14,14,FL-14,8,4,496232,0,0.0,1041,0,0,0,0,0,1041,0,"CASTOR, KATHY",D,0,"CASTOR, KATHY","MARSELLA, RENEE","BRADLEY, CHRISTOPHER; PERRY, NEELAM TANEJA DR",,,Unknown
FL,15,15,FL-15,7,6,988568,4500,5.0,43891,0,0,0,1000,3500,43891,0,"LEE, LAUREL",R,3500,"KEMP, PATRICIA","LEE, LAUREL",,22.22222222222222,77.77777777777779,R
