state_code,candidate_count,major_party_candidate_count,total_itemized_receipts,tech_itemized_receipts,tech_itemized_donors,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,dem_candidate_name,rep_candidate_name,other_candidate_names,pct_dem,pct_rep,party_label
AK,6,6,54265208,1121461,50.0,5093,15475,0,15475,0,1121461,-10382,-15475,"SULLIVAN, DAN",R,1121461,"PELTOLA, MARY","SULLIVAN, DAN",,0.0,100.0,R
IL,32,26,14720862,156166,61.0,6356057,6032613,0,0,144666,11500,323444,0,"KRISHNAMOORTHI, S",D,128526,"KRISHNAMOORTHI, S","EVANS, JEANNIE","HARRINGTON, WHITFIELD MR JR; MINK, AUSTIN JAMES; MUHAMMAD, TYRONE; SCHWARTZBERG, STEVEN J",92.63604113571456,7.36395886428544,D
MI,18,13,12394792,140827,89.0,870670,9851,100,2500,139278,1549,860819,-2400,"EL-SAYED, ABDUL",D,92206,"EL-SAYED, ABDUL","ROGERS, MICHAEL J","CHRISTENSEN, LYDIA LYNN; STEPHENS, THOMAS WAYNE; WILLIS, VALERIE LEE",98.90006887883716,1.0999311211628453,D
FL,34,28,5229952,123931,141.0,199402,15000,0,0,122931,1000,184402,0,"MUJICA, HECTOR DANIEL",D,75830,"MUJICA, HECTOR DANIEL","MOODY, ASHLEY","GILESPIE, NEIL JOSEPH",99.19309938594864,0.8069006140513674,D
TX,35,25,20766490,119686,185.0,6702802,22732441,5614943,18242875,110881,8805,-16029639,-12627932,"TALARICO, JAMES",D,84968,"TALARICO, JAMES","CORNYN, JOHN SEN","BROWN GAINES, JENNIFER TAWANDA DR. @ LAW DISTRICT 3; BROWN, THEODORE E. JR.; EVANS, RONALD JR; HUSE, RODGER; SIMMONS, JADE; SIMS, DANIEL M",92.64324983707367,7.356750162926323,D
GA,20,18,19473042,105885,125.0,1401329,362121,4027,213598,91535,14350,1039208,-209571,"OSSOFF, T. JONATHAN",D,91535,"OSSOFF, T. JONATHAN","CARTER, EARL LEROY",,86.4475610331964,13.552438966803606,D
SD,4,3,1024987,82443,19.0,0,0,0,0,400,81043,0,0,"ROUNDS, MIKE",R,81043,"BEAUDION, JULIAN C","ROUNDS, MIKE","BENGS, BRIAN",0.4911410434291468,99.50885895657086,R
MA,9,6,3466274,69124,28.0,90,0,0,0,44858,10629,90,0,"MOULTON, SETH",D,26583,"MOULTON, SETH","DEATON, JOHN","AYYADURAI, SHIVA DR; DAWICKI, MORGAN GIFFORD; TACHE, JOSEPH",80.84416169553229,19.15583830446771,D
CO,20,13,3393869,66680,19.0,192,0,0,0,66680,0,192,0,"HICKENLOOPER, JOHN W.",D,66680,"HICKENLOOPER, JOHN W.","BAISLEY, MARK","CHEW, ROBERT; DALE, CLINTON ROOSEVELT; POND, SEAN M.; WOOD, MATTHEW",100.0,0.0,D
OH,15,11,8362600,64108,25.0,593590,30899,331048,20897,18825,45283,562691,310151,"HUSTED, JON",R,45283,"BROWN, SHERROD","HUSTED, JON","FARIS, STEPHEN I MR; HOLLIMAN, ANTHONY JOHN; LEVY, GREGORY LEE; REDPATH, WILLIAM",29.36450988956136,70.63549011043864,R
IA,12,11,5377141,58582,32.0,920695,15475,895908,15475,34583,23999,905220,880433,"ARENHOLZ, ASHLEY HINSON",R,19499,"WAHLS, ZACH P","ARENHOLZ, ASHLEY HINSON","LAEHN, THOMAS RAYMOND DR.",59.03349151616537,40.96650848383462,Mixed
NC,24,19,10028585,55445,37.0,2140039,259633,298207,192327,35190,20255,1880406,105880,"COOPER, ROY",D,17690,"COOPER, ROY","TILLIS, THOM R SEN","JOHNSON, CONSTANCE ""CONNIE""; MCGINNIS, BRIAN",63.468301920822434,36.531698079177566,Mixed
VA,12,11,4189288,53200,34.0,80,0,0,0,52700,500,80,0,"WARNER, MARK ROBERT",D,52700,"WARNER, MARK ROBERT","FARINGTON, KIM","MORAN, MARK",99.06015037593986,0.9398496240601504,D
MN,17,13,6696526,45132,22.0,657798,0,225,0,21120,52,657798,225,"FLANAGAN, MARGARET",,23960,"CRAIG, ANGIE","WHITE, ROYCE","FLANAGAN, MARGARET; NORD, BILLY; TAMBORNINO, EDWARD HAROLD",99.75439259399207,0.24560740600793501,D
ME,17,13,7594043,44054,64.0,788699,189,233475,47,41322,2732,788510,233428,"PLATNER, GRAHAM",D,28272,"PLATNER, GRAHAM","COLLINS, SUSAN M.","ALCORN, ETHAN WELD MR; EVANS, DAVID ALAN; RENCH, PHILLIP; RICH, TIMOTHY",93.79851999818405,6.201480001815953,D
NJ,13,9,4089635,32411,49.0,135,0,0,0,32411,0,135,0,"BOOKER, CORY A.",D,32411,"BOOKER, CORY A.","LEBOVICS, ROBERT","CARDUCCI, NICHOLAS MATTHEW; RIVERA, NATALIE",100.0,0.0,D
NH,11,9,5278301,32390,22.0,267187,0,0,0,32390,0,267187,0,"PAPPAS, CHRIS",D,31475,"PAPPAS, CHRIS","SUNUNU, JOHN E",,100.0,0.0,D
KY,22,20,6088919,30020,15.0,1909751,5052753,16334,0,9500,20520,-3143002,16334,"BARR, GARLAND ANDY",R,19250,"WILLETT, JOEL","BARR, GARLAND ANDY",,31.645569620253166,68.35443037974683,Mixed
NM,7,4,1017260,28550,13.0,309,0,0,0,28550,0,309,0,"LUJAN, BEN RAY",D,28550,"LUJAN, BEN RAY","CHANNON, MATTHEW JAMES MR.","CHICK, CAMERON ALTON MR. SR.; OCONNELL, MELISSA MIRA; SMITH, TOBY MR.",100.0,0.0,D
TN,10,4,1877140,23620,11.0,429077,0,0,0,0,23620,429077,0,"HAGERTY, BILL",R,23620,"BREWER, MARIA A","HAGERTY, BILL","JONES, ROBERT THOMAS; MATTHEWS, YOSHI D.; SUTMAN, DAVID JR",0.0,100.0,R
NE,8,5,2156019,21001,8.0,259204,10430,112,431,0,9250,248774,-319,"OSBORN, DAN",,11751,"FORBES, WILLIAM","RICKETTS, PETE","BURBANK, CINDY; MARVIN, MIKE; OSBORN, DAN",0.0,100.0,R
LA,23,22,3378445,19000,4.0,0,2062,0,0,0,19000,-2062,0,"CASSIDY, WILLIAM M.",R,19000,"BURKE, TRACIE","CASSIDY, WILLIAM M.","LABRANCHE, JAMIE",0.0,100.0,R
MT,12,9,3082215,17050,5.0,0,0,0,0,0,17050,0,0,"DAINES, STEVE",R,17050,"BANKHEAD, ALANI INES","DAINES, STEVE","AUSTIN, KYLE; BODNAR, SETH; JANDRON, TOM",0.0,100.0,R
DE,5,4,1297965,16900,5.0,0,0,0,0,16900,0,0,0,"COONS, CHRISTOPHER A.",D,16900,"COONS, CHRISTOPHER A.","KATZ, MICHAEL S DR.","BLAND, DEXTER",100.0,0.0,D
WY,6,6,634939,14000,4.0,126100,0,0,0,0,14000,126100,0,"LUMMIS, CYNTHIA MARIE MRS.",R,14000,"BYRD, JAMES WILLARD MR.","LUMMIS, CYNTHIA MARIE MRS.",,0.0,100.0,R
RI,6,4,1352321,12000,4.0,0,0,0,0,12000,0,0,0,"REED, JOHN F.",D,12000,"REED, JOHN F.","MCKAY, RAYMOND TYLER MR",,100.0,0.0,D
SC,22,14,3202333,11554,12.0,357106,0,0,0,4451,7103,357106,0,"GRAHAM, LINDSEY O.",R,7003,"ANDREWS, ANNIE","GRAHAM, LINDSEY O.","BRENKUS, JASON ELLIOT; LOUIS, DONAVAN ARTHUR MR; STRUNGE, EDWARD IV; WHITENER, KASIE DR.",38.5234550804916,61.47654491950839,Mixed
ID,8,5,1688731,9598,5.0,0,0,0,0,0,0,0,0,"RISCH, JAMES E MR.",,6598,"BONDS, NICKOLAS","EVANS, JOE","ACHILLES, TODD BAKER; RISCH, JAMES E MR.",,,Unknown
AR,9,8,2584069,7700,3.0,590800,75500,0,0,500,7200,515300,0,"COTTON, THOMAS",R,7200,"SHOFFNER, HALLIE","COTTON, THOMAS","WADLIN, JEFFREY FRANCIS",6.493506493506493,93.5064935064935,R
AL,14,14,3163333,7350,4.0,5341040,0,25160,0,500,6850,5341040,25160,"MOORE, FELIX BARRY",R,6600,"LARRIETT, DAKARAI","MOORE, FELIX BARRY",,6.802721088435375,93.19727891156462,R
WV,10,10,1303703,3750,2.0,123134,0,0,0,250,3500,123134,0,"CAPITO, SHELLEY MOORE",R,3500,"SHREWSBURY, ZACHARY C","CAPITO, SHELLEY MOORE",,6.666666666666667,93.33333333333333,R
OR,6,6,1518388,2095,6.0,120,0,0,0,2095,0,120,0,"MERKLEY, JEFFREY ALAN",D,2095,"MERKLEY, JEFFREY ALAN","PERKINS, JO RAE",,100.0,0.0,D
OK,17,16,759284,1000,2.0,0,0,0,0,0,1000,0,0,"MULLIN, MARKWAYNE",R,1000,"BECK, WILLIAM EVAN SCOTT","MULLIN, MARKWAYNE","MEINHARDT, RON",0.0,100.0,R
MS,8,7,2509094,800,2.0,46665,23250,0,0,550,0,23415,0,"COLOM, SCOTT",D,550,"COLOM, SCOTT","HYDE-SMITH, CINDY","PINKINS, TY",100.0,0.0,D
KS,10,10,1329740,500,1.0,139674,0,0,0,500,0,139674,0,"MURRAY, ERIK",D,500,"MURRAY, ERIK","MARSHALL, ROGER W",,100.0,0.0,D
AZ,1,1,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
CA,4,3,0,0,0.0,0,0,0,0,0,0,0,0,"MCGURR, MATTHEW E.",D,0,"MCGURR, MATTHEW E.","FULKERSON, HEATH VINCENT",,,,Unknown
IN,7,6,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
MD,1,1,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
NY,3,2,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
PA,5,5,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
WA,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
